,titles,salary,company,job_desc,location
0,Data Analyst (Staff Services Analyst),"$60,320 - $73,320 a year -  Full-time",Stanislaus County,About the OpportunityFor more information about this position please Click Here for Flyer. (Download PDF reader),"Stanislaus County, CA"
1,Cybersecurity Analyst (Remote),"$80,000 - $130,000 a year",The Home Depot,"Position Purpose: Protecting what matters most to our associates and consumers by securing our sensitive data and critical assets from current and emerging threats. At The Home Depot Cybersecurity consists of Architecture, Governance, Identity & Access Management, Internal Threat Operations, Issue and Compliance Management, Risk Assessment/Advisory, Security Consulting, Security Operations and Strategic Planning.   Analysts are responsible for data management, analyzing performance, identifying problems, and developing recommendations that support Cybersecurity initiatives. Collaborates with cross functional teams to collect, analyze data, presents results and provides recommendations.  Major Tasks, Responsibilities & Key Accountabilities: 100% Deliver Execution, Plans & Aligns - Develop insights and analyses to inform business decisions Evaluate and provide recommendations based on findings Partner cross functionally to solve problems and identify trends Build and deliver solutions to meet the customers expectations  Nature and Scope: This position typically reports to Manager or Sr. Manager   This Position has 0 Direct Reports   For Colorado, Connecticut, Nevada and New York City residents: The pay range for this position is between $80,000 and $130,000. Starting salary may vary based on a number of factors including, but not limited to, the position being offered, location, education, training, and/or experience. The Home Depot offers additional competitive financial and non-financial benefits, which may include a performance-based bonus program or a profit sharing program depending on position.  Environmental Job Requirements:Environment: Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.  Travel: No travel required.  Additional Environmental Job Requirements: This Position typically reports to Manager or Sr. Manager  Standard Minimum Qualifications: Must be eighteen years of age or older.     Must be legally permitted to work in the United States.    Education Required: The knowledge, skills and abilities typically acquired through the completion of a high school diploma and/or GED.    Years of Relevant Work Experience: 0 years    Physical Requirements: Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.    Knowledge, Skills, Abilities and Competencies:Action OrientedCollaboratesCommunicates EffectivelyCustomer FocusDrives Results","Atlanta, GA 30301"
2,"data analyst, (multiple openings) - Remote",Full-time,Starbucks,"Job Posting : May 31, 2022   Job Posting End Date : Aug 29, 2022  Location : US-WA-Seattle-Starbucks Support Center    Is this role eligible for remote or hybrid work? : Yes-Remote    Starbucks - Data Analytics  Schedule : Full-time  Now Brewing – Data Analyst - Remote! #tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. As a Data Analyst on the Data, Analytics, Insights, and Business Operations team, you will work cross-functionally with data engineers, data scientists, business experts, and external vendors to help Starbucks make decisions better by using data and analytics. You will work on a variety of projects that include building analytical models, coding, data visualizations, and storytelling to help us identify opportunities. You will quickly become an expert in one of our key business and data domains (Supply Chain, People Analytics, Marketing, or Store) and work cross functionally in an analytics center of excellence to improve existing processes or analytical approaches. You will… Participate in discussions with business partners to define business questions Extracts data from various databases; perform exploratory data analysis, cleanse, massages, and aggregate data Apply basic statistical concepts and descriptive statistics to understand and describe relationships in data Create impactful visual representations of analytic insights and concise summaries of methodology geared to audience needs; presents selected portions to stakeholders We’d love to hear from people with: Education: BS+ with concentration in quantitative discipline - Statistics, Math, Comp Sci, Engineering, Econ, Quantitative Social Science, or similar discipline Minimum of 1 year industry experience in analytics (or an advanced degree in a related field) Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities Exposure and business-applicable experience in several Modeling & Machine Learning Techniques (regression, tree models, survival analysis, cluster analysis, forecasting, anomaly detection, association rules, etc.) Exposure and business-applicable experience in several data ETL (Teradata, Oracle, SQL, Python, Java, Ruby, Pig)","Seattle, WA"
3,Business/Data Analyst (Entry Level),$30 an hour -  Contract,Agama Solutions,"Role: Business/Data Analyst (Entry Level)Location: RemoteDuration: Contract (6+Months)Job Description Requirements: 1+ Years of IT Experience Strong analytical background and critical thinkingStrong organizational skills and attention to detailRequirements Gathering experienceFluency in MS ExcelAbility to thrive in a fast-paced, high-volume, and deadline-driven environmentEngineering and Technical degree preferred.Marketing / Advertising / Analytics-related experience is preferred but not necessary.Strong attention to detail as well as strong written and Excellent Communication skillsExperience with a scripting programming language and SQL is helpful, but not required.",Remote
4,Data Analyst I,Full-time,Mass General Brigham,"Data Analyst I - (3203496)  GENERAL SUMMARY/ OVERVIEW STATEMENT:The NeuroValue Lab is seeking a full-time Data Analyst to provide analytic support for research activities within the Department of Neurology, Massachusetts General Hospital (MGH). The MGH NeuroValue lab focuses on health services and outcomes research, specifically assessing the economic burden associated with neurological conditions. The lab was created to increase the value of healthcare in neurology with respect to the ratio of quality and/or outcomes to cost (https://neurovalue.mgh.harvard.edu/). Reporting to Dr. Lidia Moura, M.D., M.P.H., Director MGH NeuroValue, the Data Analyst will contribute largely to the analytical components of ongoing studies.These studies will produce generalizable, publishable findings. Specifically, the Data Analyst will work with a team of investigators, clinical research coordinators and analysts on various clinical studies and quality improvement projects. The Data Analyst will be responsible for translating research questions into analytic plans; analyzing clinical data, conducting valid statistical tests and statistical models; and assisting with data visualization and communicating findings in presentations and manuscripts. We are looking for someone with training in biostatistics, epidemiology, statistics, or a related field. Analytical experience using Electronic Health Record (EHR) data, longitudinal data, and advanced clinical statistical models is preferred. Specific tasks will include: database management, data extraction, data cleaning/quality checks, and conducting statistical analysis using linked and/or multiple data sources.PRINCIPAL DUTIES AND RESPONSIBILITIES:The Data Analyst will be working directly under the supervision of Dr. Moura on various data-focused tasks including, but not limited to, data cleaning, data harmonization, data quality control, and data analysis and interpretation (e.g. multivariate regression analyses, survival analyses, etc.). The Data Analyst may also be asked to assist in conducting literature reviews, developing grant proposals, and developing presentations and manuscripts for dissemination of findings. SKILLS/ABILITIES/COMPETENCIES REQUIRED:The ideal candidate will have achieved strong performance in college-level statistics courses, with demonstrated strong analytic ability (including at least some experience working in SAS, STATA, R, Python, or similar programming languages). This position requires attention to detail, especially in ensuring data security, quality and accuracy. The ability to work simultaneously on various tasks, to maintain attention to detail, and to effectively contribute to the project team are also essential.EDUCATION:Bachelor’s Degree Required, with some background in statistics or related field.EXPERIENCE:At least some demonstrated experience working in SAS, SPSS, R, Python, or other programming language is required, as is a desire to learn more about data analysis.WORKING CONDITIONS:This is an onsite position with some flexibility to work remotely on select days. EEO StatementMassachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged. Primary Location MA-Boston-MGH Main Campus  Work Locations MGH Main Campus 55 Fruit Street Boston 02114  Job Professional/Managerial  Organization Massachusetts General Hospital(MGH)  Schedule Full-time  Standard Hours 40  Shift Day Job  Employee Status Regular  Recruiting Department MGH Neurology Research  Job Posting Jun 15, 2022 ","Boston, MA 02114"
5,Data Analyst (Remote),"$60,000 - $80,000 a year -  Full-time",pulseData,"  Join us as we pursue our vision to eliminate preventable sickness. We are a distributed team filled with people who are passionate about our product and seek to deliver the best experience for our customers. At pulseData, we’re committed to our work, our customers, having fun, and each other’s success.  pulseData leverages data science and machine learning for Hospitals and Healthcare companies, to identify patients at risk of costly and avoidable medical outcomes. Our bespoke suite of products not only impacts our customers, but it prevents the suffering of thousands of patients who can receive the care they need before they know they need it. The work you'll do here has a massive impact.  The Role: You'll be making our data more accessible, understandable, and usable and assisting with client deliverables. You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines. You'll be delivering the data in a useful and appealing way to technical and non-technical audiences. You'll create robust methods to detect missing or poor data. Your Background: Bachelors Degree in a computer science or a quant degree. Experience working in Python (Pandas) is preferred; SQL is okay. Demonstrated ability to troubleshoot complex issues and find resolutions in a fast-paced, startup environment. Bonus points for any experience in Spark. Strong willingness to learn new technologies. The Perks: Compensation between $60k to $80k plus potential bonuses A remote working environment - we work ET hours but you can tune in from anywhere. Awesome benefits including top tier medical, dental, and vision insurance - 85% of which is covered by pulseData. Unlimited PTO - so you can stay at your best year round! Fun gym discounts, a 401k, and a new laptop + equipment. Company offsite adventures throughout the US each year. Tons of room for growth and the ability to learn new things. An awesome tribe of smart and inclusive people that believe in diversity of thought and disrupting the status quo. This role NOW offers sponsorship. Chronic Kidney Disease (CKD) is a substantially under-diagnosed condition that affects 37 million people in the US. Today, clinical and care management teams use our platform to identify the most at risk-individuals and proactively deliver care in advance of adverse events, delivering better clinical outcomes at a lower cost. Our clients are risk-bearing healthcare enterprises: ACOs, kidney clinics and nephrology practices, large health systems, managed care and health insurance companies. Together, we use data science to deliver more human care.  pulseData is backed by some of the best investors in the industry, recently raising a $16.5M Series A led by Bain Capital and Two Bear Capital. ",Remote
6,Data Analyst/Python,Contract,RADcube,"Type: Contract |   Location: Indianapolis, Indiana    JOB DUTIES   Serves as project lead/subject matter expert for specific data sources, as assignedReviews and provides feedback on the work products of other analystsResponsible for transferring raw data to the appropriate location for use in data analysis projectsWrangles, cleans, and validates agency data sources with minimal guidanceConducts general analysis of agency datasets; serves as project lead, as assigned.Contributes to complex analysis of agency datasets, as requestedConducts data quality checks to ensure the validity and cleanliness of agency datasets prior to their use in analysis and reportingOversee and review projects completed by associate analysts, as requested by senior analystInterprets data and from multiple sources using a variety of analytical techniques, ranging from simple data aggregation, to data mining, to more complex statistical methodologies Collaborate with internal and external partners to develop novel ways of using and reporting out data.Provide technical assistance to program areas for the creation of reports and grant deliverables REQUIREMENTS   Bachelor's degree in public health from an accredited university with a focus on epidemiology/evaluation and/or data analysis and assessment, OR a bachelor's degree in biostatistics, mathematics, epidemiology, analytics, or related field.Demonstrated experience with data manipulation, including cleansing, standardizing, and transforming preferred. Demonstrated experience with SAS or R, including data cleaning, running descriptive statistics, and full analyses.Working knowledge of epidemiological methods, study design, and analysis needed with an understanding of both qualitative and quantitative data.Working knowledge of MS Office Suite including Excel, Word, and PowerPoint.Effective time management and program management skills.Ability to work in a team environment with multiple and fluid demands.Ability to maintain effective and professional working relationships with internal and external customers.Ability to research and document findings.","Indianapolis, IN"
7,Satellite Data Analyst,"$47,349 - $110,118 a year -  Full-time",Na,"Position DescriptionThis programmer-analyst position supports NOAA/NESDIS Satellite Analysis Branch (SAB). The successful candidate will provide scientific satellite remote sensing analysis. They will perform analysis of environmental events detected from satellite imagery and sensor data from a wide-range of NOAA and Non-NOAA (Department of Defense, NASA, and Foreign) satellites.Analysts will work with data imagery and plots to monitor, track, and provide forecast input for events such as fires, volcanoes, oil spills, and other events for NOAA, other Governments users and the public. The work involves a thorough understanding of satellite imagery and the science that it represents. We are looking for Candidates with knowledge/experience in remote sensing, GIS, Oceanography, physical meteorology, computer programming, and/or Project ManagementSAB operations run 24x7 and all analysts share in supporting all shifts.Required SkillsProvide analysis of satellite imagery, integrated with ancillary datasets, to create briefings and products that enable its users to mitigate disasters and environmental hazardExamine & analyze satellite imageryHighly detail-oriented, organized, and timelyAbility to work well independently and in a team settingAptitude and desire to do daily analysis for tracking eventsWork within the team framework created by management and work with team members on assigned projectsMust qualify to obtain a public trust clearanceMust be a US Citizen or Permanent Resident and be able to pass a background investigation to obtain a security badge to enter the applicable government facility.EducationM.S. in or equivalent experience in meteorology, oceanography, remote sensing science, GIS, or similar area.Onsite training and certification by current staff providedERT is a VEVRAA Federal Contractor and Equal Opportunity/Affirmative Action employer - All qualified applicants will be considered for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status.Job Type: Full-timePay: $47,348.97 - $110,117.68 per year","College Park, MD"
8,Data Analyst,Full-time,Hulu," We are seeking a Data Analyst who will focus on analyzing subscriber retention and engagement. Collaborating across marketing, product, data engineering, data science and business teams, this position will design and implement reporting that enables internal clients to access, explore and monitor data, as well as perform analysis and share underlying trends and insights to help teams have a better understanding of the ESPN+ and Disney+ subscribers, audience behavior and engagement drivers.  Responsibilities Mine data, perform quantitative analysis and create clear and actionable narratives about our audience, their behaviors, and drivers of retention and engagement. Partner with colleagues facilitating the design, build and automation of reports / dashboards that provide insight into customer conversion and behavior. Build intuitive interfaces, infographics, and visualizations to tell stories with data. Create presentations with analysis and insights for both technical and non-technical audiences. Requirements 2+ years of analytical experience. 1+ years work experience using SQL and Python/R or other statistical programming language. Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. It is a plus if you can share a portfolio of clear, intuitive and insightful visualizations. Understanding of statistics concepts (e.g., hypothesis testing, regression analysis). Ability to think strategically, analyze and interpret market and consumer information. Strong communication skills, as well as written and verbal presentation skills. Degree in an analytical field.","Santa Monica, CA"
9,Data Analyst,"$75,000 a year -  Full-time",Zoll Medical Corporation," Data    ZOLL Data Systems, a division of ZOLL Medical Corporation, is a healthcare software solutions provider that empowers hospital, EMS and Fire, and billing/accounts receivable (AR) teams to deliver more—from better patient outcomes to operational efficiencies and greater revenue capture. Our business exists to help save more lives through data-driven innovation and interoperability, opening new pathways for our customers to achieve the highest levels of care, collaboration, and reimbursement.    Job Summary    ZOLL Data is looking for an experienced Data Analyst as an integral member of our new data platform team. You are a self-motivated team player who is passionate about data and excited to explore cross-functional responsibilities that cultivate a data driven environment.    Responsibilities  Document, design, and maintain data models and data systems Define data design standards and best practices Catalog and track data sets for quality and compliance Collaborate with engineering in establishing a new governed data platform Work with multiple product teams to achieve consistent use of data and data sharing Application of statistical methods to extract new insights from large data sets   Qualifications  BS in Computer Science or Related Field Experience with Data Warehouse and big data platforms 3+ years experience with relational and No-SQL database platforms 3+ years with BI tools (Tableau, Power BI, Birst) 2+ years experience using scripting language for data processing (R or Python) Proficient in SQL Experience with HIPAA and GDPR Experience with ETL tools a plus   The minimum salary for this position is $75,000 annually. Final compensation will be determined by various factors such as a candidate’s relevant work experience, skills, certifications, and location.  Perks & Benefits    ZOLL provides a casual work environment, competitive salaries, and a compensation structure that rewards contribution and hard work. Our benefits package includes 401(k), medical, dental, vision, life, AD&D, flex spending accounts, STD/LTD, Paid Time Off, tuition assistance, and home office technology allowance.   ZOLL appreciates and values diversity. We are an equal opportunity employer and do not discriminate in hiring or employment on the basis of race, color, religion, national origin, citizenship, gender, gender identity, genetic information, marital status, sexual orientation, age, disability, veteran status, or any other characteristic protected by federal, state, or local law.   ADA: ZOLL will make reasonable accommodations in compliance with the Americans with Disabilities Act of 1990.    Other Duties:    Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities will be reviewed periodically as duties and responsibilities change with business necessity. Essential and marginal job functions are subject to modification.    ZOLL Medical Corporation appreciates and values diversity. We are an Equal Opportunity Employer M/F/D/V.    ADA: The employer will make reasonable accommodations in compliance with the Americans with Disabilities Act of 1990. ","Broomfield, CO"
